feature,pearson_corr,pearson_p_value,pearson_significant,spearman_corr,spearman_p_value,spearman_significant,abs_pearson,abs_spearman,n_samples
koi_srho_err1,-0.042829009719875896,2.7911653525354737e-05,True,0.24239661722777125,6.258296676388591e-128,True,0.042829009719875896,0.24239661722777125,9564
koi_insol_err2,0.04079027596963937,6.600284605934492e-05,True,0.2734547557751869,1.2508765191557703e-163,True,0.04079027596963937,0.2734547557751869,9564
koi_jmag,0.03317672945160941,0.0011744616300184741,True,0.02325420912809514,0.02295564499823176,True,0.03317672945160941,0.02325420912809514,9564
koi_kmag,0.028132183145641886,0.005934265592129991,True,0.014880887957728987,0.14562018771780696,False,0.028132183145641886,0.014880887957728987,9564
koi_hmag,0.02738067681294621,0.007409315815112837,True,0.01576797522665298,0.1230894975498978,False,0.02738067681294621,0.01576797522665298,9564
koi_fwm_pdeco_err,-0.022694652012525542,0.026457128958606527,True,-0.12411879801531797,3.790247341638436e-34,True,0.022694652012525542,0.12411879801531797,9564
koi_fpflag_nt,-0.02266393277260583,0.02666204949561918,True,-0.4284447507240226,0.0,True,0.02266393277260583,0.4284447507240226,9564
koi_fwm_prao_err,-0.02176560057507151,0.03329099752015404,True,-0.11641273118659637,3.245661417179655e-30,True,0.02176560057507151,0.11641273118659637,9564
koi_depth_err1,-0.021187594770645614,0.038263807516573926,True,-0.15438123758385364,4.313615762425282e-52,True,0.021187594770645614,0.15438123758385364,9564
koi_depth_err2,0.021187594770645614,0.038263807516573926,True,0.15438123758385364,4.313615762425282e-52,True,0.021187594770645614,0.15438123758385364,9564
koi_dikco_mdec,0.019645266412462503,0.05471192305765046,False,0.03266115502706149,0.0014004639076081848,True,0.019645266412462503,0.03266115502706149,9564
koi_prad,-0.019155351828990533,0.061035506842555924,False,-0.3032421106603831,1.3771521915272538e-202,True,0.019155351828990533,0.3032421106603831,9564
koi_time0bk_err2,0.019080216577124935,0.0620568706502322,False,-0.11944703131540252,9.847831837452332e-32,True,0.019080216577124935,0.11944703131540252,9564
koi_time0_err1,-0.019080216577124935,0.0620568706502322,False,0.11944703131540252,9.847831837452332e-32,True,0.019080216577124935,0.11944703131540252,9564
koi_time0_err2,0.019080216577124935,0.0620568706502322,False,-0.11944703131540252,9.847831837452332e-32,True,0.019080216577124935,0.11944703131540252,9564
koi_time0bk_err1,-0.019080216577124935,0.0620568706502322,False,0.11944703131540252,9.847831837452332e-32,True,0.019080216577124935,0.11944703131540252,9564
avg_relative_error,-0.01908021657712492,0.0620568706502322,False,0.11944703131540252,9.847831837452332e-32,True,0.01908021657712492,0.11944703131540252,9564
koi_prad_err1,-0.018601468159138476,0.06890177335292504,False,-0.39866319633646924,0.0,True,0.018601468159138476,0.39866319633646924,9564
koi_prad_err2,0.01735863064381993,0.08960112679679369,False,0.33833360053095385,9.156159112606722e-255,True,0.01735863064381993,0.33833360053095385,9564
koi_sma,0.015269235988058131,0.13539594720691628,False,0.2128938542511207,1.8816925959995372e-98,True,0.015269235988058131,0.2128938542511207,9564
koi_dicco_mdec,0.014972734554801113,0.14315028720300782,False,0.020728278593323286,0.04265326688069381,True,0.014972734554801113,0.020728278593323286,9564
koi_fwm_srao,0.014111395648244046,0.16761059618221882,False,-0.00427431422910431,0.6759786677262886,False,0.014111395648244046,0.00427431422910431,9564
koi_dicco_mra,0.01394728197631736,0.1726077507665668,False,0.021326262782619176,0.03701655050096578,True,0.01394728197631736,0.021326262782619176,9564
